,Cell IdX,Cell IdY,Cell IdZ,X [mm],Y [mm],Z [mm],Dose,FieldScalingFactor
210,2,10,3,-14.0,18.0,14.0,0.00073672,0.3576033652543648
211,2,10,4,-14.0,18.0,18.0,0.00073672,0.362191275347911
212,2,10,5,-14.0,18.0,22.0,0.00073672,0.3668903560066447
213,2,11,3,-14.0,22.0,14.0,0.00073672,0.35665545527596065
214,2,11,4,-14.0,22.0,18.0,0.00073672,0.361208395972792
215,2,11,5,-14.0,22.0,22.0,0.00073672,0.3658707760106638
216,3,0,0,-10.0,-22.0,2.0,0.00305328,0.34797945885573933
217,3,0,1,-10.0,-22.0,6.0,0.00305328,0.3523823420350135
218,3,0,2,-10.0,-22.0,10.0,0.00305328,0.35689144423039704
219,3,1,0,-10.0,-18.0,2.0,0.00305328,0.3480642063234898
220,3,1,1,-10.0,-18.0,6.0,0.00305328,0.3524701599098886
221,3,1,2,-10.0,-18.0,10.0,0.00305328,0.35698248250262415
222,3,2,0,-10.0,-14.0,2.0,0.00305328,0.3480523631043921
223,3,2,1,-10.0,-14.0,6.0,0.00305328,0.35245789186309934
224,3,2,2,-10.0,-14.0,10.0,0.00305328,0.35696976913902917
225,4,0,0,-6.0,-22.0,2.0,0.00305328,0.34805633352330545
226,4,0,1,-6.0,-22.0,6.0,0.00305328,0.35246200065152045
227,4,0,2,-6.0,-22.0,10.0,0.00305328,0.35697402271665474
228,4,1,0,-6.0,-18.0,2.0,0.00305328,0.3481326251885744
229,4,1,1,-6.0,-18.0,6.0,0.00305328,0.3525410578711782
230,4,1,2,-6.0,-18.0,10.0,0.00305328,0.357055980682379
231,4,2,0,-6.0,-14.0,2.0,0.00305328,0.34811227292780267
232,4,2,1,-6.0,-14.0,6.0,0.00305328,0.35251997268342483
233,4,2,2,-6.0,-14.0,10.0,0.00305328,0.3570341270397347
234,5,0,0,-2.0,-22.0,2.0,0.00305328,0.3480755862203232
235,5,0,1,-2.0,-22.0,6.0,0.00305328,0.35248194985735765
236,5,0,2,-2.0,-22.0,10.0,0.00305328,0.35699470239263625
237,5,1,0,-2.0,-18.0,2.0,0.00305328,0.3481433960023062
238,5,1,1,-2.0,-18.0,6.0,0.00305328,0.3525522187464834
239,5,1,2,-2.0,-18.0,10.0,0.00305328,0.35706755066368506
240,5,2,0,-2.0,-14.0,2.0,0.00305328,0.3481145496153626
241,5,2,1,-2.0,-14.0,6.0,0.00305328,0.35252233223923846
242,5,2,2,-2.0,-14.0,10.0,0.00305328,0.35703657353618184
243,3,0,3,-10.0,-22.0,14.0,0.0039528,0.3615106496127949
244,3,0,4,-10.0,-22.0,18.0,0.0039528,0.36624403373796505
245,3,0,5,-10.0,-22.0,22.0,0.0039528,0.3710958754598671
246,3,1,3,-10.0,-18.0,14.0,0.0039528,0.3616050675354965
247,3,1,4,-10.0,-18.0,18.0,0.0039528,0.3663420005215073
248,3,1,5,-10.0,-18.0,22.0,0.0039528,0.37119757102760614
249,3,2,3,-10.0,-14.0,14.0,0.0039528,0.36159188712051754
250,3,2,4,-10.0,-14.0,18.0,0.0039528,0.3663283299834912
251,3,2,5,-10.0,-14.0,22.0,0.0039528,0.3711833858583226
252,4,0,3,-6.0,-22.0,14.0,0.0039528,0.36159629227794365
253,4,0,4,-6.0,-22.0,18.0,0.0039528,0.3663328939077221
254,4,0,5,-6.0,-22.0,22.0,0.0039528,0.37118811616037134
255,4,1,3,-6.0,-18.0,14.0,0.0039528,0.36168129453749653
256,4,1,4,-6.0,-18.0,18.0,0.0039528,0.3664210929919473
257,4,1,5,-6.0,-18.0,22.0,0.0039528,0.371279674265703
258,4,2,3,-6.0,-14.0,14.0,0.0039528,0.36165863473878934
259,4,2,4,-6.0,-14.0,18.0,0.0039528,0.36639758700168007
260,4,2,5,-6.0,-14.0,22.0,0.0039528,0.37125527953894977
261,5,0,3,-2.0,-22.0,14.0,0.0039528,0.3616177384779374
262,5,0,4,-2.0,-22.0,18.0,0.0039528,0.3663551449346118
263,5,0,5,-2.0,-22.0,22.0,0.0039528,0.371211212736212
264,5,1,3,-2.0,-18.0,14.0,0.0039528,0.36169329384459215
265,5,1,4,-2.0,-18.0,18.0,0.0039528,0.3664335431080336
266,5,1,5,-2.0,-18.0,22.0,0.0039528,0.3712925980331915
267,5,2,3,-2.0,-14.0,14.0,0.0039528,0.3616611725015855
268,5,2,4,-2.0,-14.0,18.0,0.0039528,0.3664002206290782
269,5,2,5,-2.0,-14.0,22.0,0.0039528,0.371258013922588
270,3,3,0,-10.0,-10.0,2.0,0.00577337,0.34794394848780735
271,3,3,1,-10.0,-10.0,6.0,0.00577337,0.35234555834427106
272,3,3,2,-10.0,-10.0,10.0,0.00577337,0.3568533258339678
273,3,4,0,-10.0,-6.0,2.0,0.00577337,0.34773914177226933
274,3,4,1,-10.0,-6.0,6.0,0.00577337,0.35213334955565395
275,3,4,2,-10.0,-6.0,10.0,0.00577337,0.35663335449763045
276,3,5,0,-10.0,-2.0,2.0,0.00577337,0.34743828152679285
277,3,5,1,-10.0,-2.0,6.0,0.00577337,0.3518216246499162
278,3,5,2,-10.0,-2.0,10.0,0.00577337,0.35631023638415205
279,4,3,0,-6.0,-10.0,2.0,0.00577337,0.3479953037769682
280,4,3,1,-6.0,-10.0,6.0,0.00577337,0.3523987737558315
281,4,3,2,-6.0,-10.0,10.0,0.00577337,0.35690849220712095
282,4,4,0,-6.0,-6.0,2.0,0.00577337,0.3477819049057988
283,4,4,1,-6.0,-6.0,6.0,0.00577337,0.3521776596439002
284,4,4,2,-6.0,-6.0,10.0,0.00577337,0.3566792869659415
285,4,5,0,-6.0,-2.0,2.0,0.00577337,0.3474724228568013
286,4,5,1,-6.0,-2.0,6.0,0.00577337,0.3518569979646955
287,4,5,2,-6.0,-2.0,10.0,0.00577337,0.3563469015622788
288,5,3,0,-2.0,-10.0,2.0,0.00577337,0.3479890818118231
289,5,3,1,-2.0,-10.0,6.0,0.00577337,0.35239232718830027
290,5,3,2,-2.0,-10.0,10.0,0.00577337,0.3569018101168797
291,5,4,0,-2.0,-6.0,2.0,0.00577337,0.3477671874910034
292,5,4,1,-2.0,-6.0,6.0,0.00577337,0.3521624103486232
293,5,4,2,-2.0,-6.0,10.0,0.00577337,0.3566634798911434
294,5,5,0,-2.0,-2.0,2.0,0.00577337,0.3474492209166343
295,5,5,1,-2.0,-2.0,6.0,0.00577337,0.35183295752767096
296,5,5,2,-2.0,-2.0,10.0,0.00577337,0.3563219817992468
297,3,3,3,-10.0,-10.0,14.0,0.00694797,0.3614711313986081
298,3,3,4,-10.0,-10.0,18.0,0.00694797,0.3662030465907039
299,3,3,5,-10.0,-10.0,22.0,0.00694797,0.3710533459632173
300,3,4,3,-10.0,-6.0,14.0,0.00694797,0.3612430148621455
301,3,4,4,-10.0,-6.0,18.0,0.00694797,0.3659663783689107
302,3,4,5,-10.0,-6.0,22.0,0.00694797,0.3708076939374751
303,3,5,3,-10.0,-2.0,14.0,0.00694797,0.3609079425164162
304,3,5,4,-10.0,-2.0,18.0,0.00694797,0.3656187558695315
305,3,5,5,-10.0,-2.0,22.0,0.00694797,0.3704468878336075
306,4,3,3,-6.0,-10.0,14.0,0.00694797,0.3615283451805355
307,4,3,4,-6.0,-10.0,18.0,0.00694797,0.36626241025673345
308,4,3,5,-6.0,-10.0,22.0,0.00694797,0.3711149684742071
309,4,4,3,-6.0,-6.0,14.0,0.00694797,0.36129064978324604
310,4,4,4,-6.0,-6.0,18.0,0.00694797,0.3660158008103966
311,4,4,5,-6.0,-6.0,22.0,0.00694797,0.3708589943398558
312,4,5,3,-6.0,-2.0,14.0,0.00694797,0.3609459631117782
313,4,5,4,-6.0,-2.0,18.0,0.00694797,0.3656581993848036
314,4,5,5,-6.0,-2.0,22.0,0.00694797,0.3704878260178102
315,5,3,3,-2.0,-10.0,14.0,0.00694797,0.36152141597677373
316,5,3,4,-2.0,-10.0,18.0,0.00694797,0.3662552216283076
317,5,3,5,-2.0,-10.0,22.0,0.00694797,0.3711075073353214
318,5,4,3,-2.0,-6.0,14.0,0.00694797,0.36127425743682207
319,5,4,4,-2.0,-6.0,18.0,0.00694797,0.36599879398829327
320,5,4,5,-2.0,-6.0,22.0,0.00694797,0.3708413419968223
321,5,5,3,-2.0,-2.0,14.0,0.00694797,0.36092012068207135
322,5,5,4,-2.0,-2.0,18.0,0.00694797,0.36563138824889047
323,5,5,5,-2.0,-2.0,22.0,0.00694797,0.37045999723344164
324,3,6,0,-10.0,2.0,2.0,0.00562412,0.34704186419570177
325,3,6,1,-10.0,2.0,6.0,0.00562412,0.351410910215183
326,3,6,2,-10.0,2.0,10.0,0.00562412,0.35588453044479584
327,3,7,0,-10.0,6.0,2.0,0.00562412,0.3465505420576322
328,3,7,1,-10.0,6.0,6.0,0.00562412,0.35090189805901
329,3,7,2,-10.0,6.0,10.0,0.00562412,0.35535697091967955
330,3,8,0,-10.0,10.0,2.0,0.00562412,0.3459651205543374
331,3,8,1,-10.0,10.0,6.0,0.00562412,0.3502954423087088
332,3,8,2,-10.0,10.0,10.0,0.00562412,0.35472846418709425
333,4,6,0,-6.0,2.0,2.0,0.00562412,0.34706736212714995
334,4,6,1,-6.0,2.0,6.0,0.00562412,0.35143732385688614
335,4,6,2,-6.0,2.0,10.0,0.00562412,0.35591190403309414
336,4,7,0,-6.0,6.0,2.0,0.00562412,0.34656738310440205
337,4,7,1,-6.0,6.0,6.0,0.00562412,0.3509193377394078
338,4,7,2,-6.0,6.0,10.0,0.00562412,0.3553750377702223
339,4,8,0,-6.0,10.0,2.0,0.00562412,0.345973299371633
